date,high,low,close,open,impact,trades,shares
2016-06-28,63.1,63.1,63.2,63.2,0,2,66
2016-07-04,63.2,63.2,63.2,63.2,0,3,1700
2016-07-11,67.5,67.5,67.5,63.2,6.8,5,300
2016-07-13,70.4,67.8,70.4,67.5,4.3,34,8481
2016-07-15,73.3,70,70.4,70.4,0,3,16
2016-07-18,73,72.8,72.9,70.4,3.55,3,230
2016-07-20,73.5,70,73.5,72.9,0.82,7,518
2016-07-21,73.9,70,73.6,73.5,0.14,20,1113
2016-07-22,73.9,72,73.3,73.6,-0.41,22,2680
2016-07-25,74.9,73.8,74.3,73.3,1.36,13,650
2016-07-26,74.9,74.8,74.9,74.3,0.81,5,400
2016-07-27,74.9,70,70.8,74.9,-5.47,10,2500
2016-07-28,74.8,74.7,74.7,70.8,5.51,5,300
2016-07-29,74.8,74.8,74.8,74.7,0.13,1,100
2016-08-01,74.9,73,74.4,74.8,-0.53,15,941
2016-08-02,75.8,74.9,74.9,74.4,0.67,12,1195
2016-08-03,78,74.6,77,74.9,2.8,10,802
2016-08-04,77,74.6,75.4,77,-2.08,2,300
2016-08-09,76.9,72,76.6,75.4,1.59,5,107
2016-08-10,76.9,76.8,76.9,76.6,0.39,10,300
2016-08-12,72,72,72,76.9,-6.37,3,171
2016-08-15,75.4,72,75,72,4.17,5,1255
2016-08-16,77,75,75.8,75,1.07,21,3877
2016-08-18,72,72,75.8,75.8,0,1,10
2016-08-22,72,72,72,75.8,-5.01,1,239
2016-08-23,78.9,72.1,75.8,72,5.28,9,1957
2016-08-24,79,72.5,72.5,75.8,-4.35,5,205
2016-08-25,79,75,77.4,72.5,6.76,6,500
2016-09-01,77,77,77.4,77.4,0,1,5
2016-09-05,74,72.8,72.9,77.4,-5.81,8,803
2016-09-06,74,74,74,72.9,1.51,1,200
2016-09-07,72.5,72.5,72.5,74,-2.03,4,430
2016-09-19,72.6,72.6,72.6,72.5,0.14,1,214
2016-09-20,72.6,72.6,72.6,72.6,0,2,227
2016-09-21,72.6,72.6,72.6,72.6,0,1,200
2016-09-23,74.9,72,72.8,72.6,0.28,7,1685
2016-09-26,74.9,70.1,74.9,72.8,2.88,9,1316
2016-09-27,74.9,74.9,74.9,74.9,0,1,1
2016-09-29,73,73,74.9,74.9,0,1,1
2016-10-03,74.8,74.8,74.9,74.9,0,3,3
2016-10-05,74.9,74.8,74.9,74.9,0,6,28
2016-10-07,74.9,74.9,74.9,74.9,0,1,2
2016-10-10,74.9,74.9,74.9,74.9,0,2,5
2016-10-11,73,73,74.9,74.9,0,1,60
2016-10-12,73,70,72.6,74.9,-3.07,4,1166
2016-10-13,70.1,70.1,72.6,72.6,0,1,1
2016-10-14,73,70,71.8,72.6,-1.1,8,339
2016-10-17,73,70,72.6,71.8,1.11,6,229
2016-10-18,70,70,70,72.6,-3.58,5,663
2016-10-19,72.9,72.9,72.9,70,4.14,2,310
2016-10-20,75,70.1,74.9,72.9,2.74,11,15005
2016-10-27,70.2,70.2,74.9,74.9,0,1,2
2016-11-01,71,70.5,70.5,74.9,-5.87,7,1500
2016-11-02,70.1,70,70,70.5,-0.71,2,2068
2016-11-04,70,70,70,70,0,3,1910
2016-11-10,73.4,70.5,70,70,0,3,5
2016-11-11,75,73.5,74.9,70,7,7,2040
2016-11-17,72,72,72,74.9,-3.87,5,612
2016-11-18,71.8,71.7,71.8,72,-0.28,2,700
2016-11-21,71.7,71.7,71.7,71.8,-0.14,1,390
2016-11-24,74.6,71.7,74.6,71.7,4.04,7,4203
2016-11-29,74.4,74.4,74.4,74.6,-0.27,1,4000
2016-12-01,74.9,74.6,74.8,74.4,0.54,5,260
2016-12-02,70,70,70,74.8,-6.42,2,200
2016-12-05,70.4,70.4,70,70,0,1,50
2016-12-06,72.5,72.5,70,70,0,1,10
2016-12-08,71.2,70.3,71.2,70,1.71,3,10403
2016-12-15,70.1,70.1,71.2,71.2,0,1,2
2016-12-21,65.1,65,65.1,71.2,-8.57,2,209
2016-12-28,73.9,73.9,73.9,65.1,13.52,2,300
2016-12-29,70,70,70,73.9,-5.28,3,979
2016-12-30,73.7,73.7,73.7,70,5.29,1,100
2017-01-02,73,71,73,73.7,-0.95,3,1900
2017-01-05,74.9,72.9,74.9,73,2.6,12,3232
2017-01-06,75.9,75,75.9,74.9,1.34,4,800
2017-01-11,76,72.2,75.9,75.9,0,9,14300
2017-01-13,78,77,78,75.9,2.77,10,30161
2017-01-17,78.3,72.7,77.7,78,-0.38,7,11716
2017-01-25,77,72.7,77,77.7,-0.9,3,653
2017-01-26,73.2,73.2,77,77,0,1,1
2017-01-27,78,76.9,77.2,77,0.26,17,2029
2017-01-30,80,78,80,77.2,3.63,17,9808
2017-01-31,78.5,77,80,80,0,2,50
2017-02-01,80,78,80,80,0,5,52382
2017-02-02,80,79,79.9,80,-0.12,4,1300
2017-02-03,81,79,79.4,79.9,-0.63,5,1300
2017-02-06,84.9,79,79.1,79.4,-0.38,13,4723
2017-02-09,83.9,79.9,80.5,79.1,1.77,5,700
2017-02-13,83.9,75.4,80.5,80.5,0,4,4
2017-02-14,83,75.6,76.2,80.5,-5.34,9,450
2017-02-15,85,81.7,85,76.2,11.55,46,26061
2017-02-16,87,75.9,86.1,85,1.29,11,800
2017-02-17,86.9,83,86.1,86.1,0,7,77
2017-02-20,79,78.9,79,86.1,-8.25,3,107
2017-02-21,86.9,85.9,86,79,8.86,16,1261
2017-02-22,86.5,86.5,86,86,0,3,10
2017-02-23,86.4,86.3,86.4,86,0.47,6,107
2017-02-27,84,84,86.4,86.4,0,2,70
2017-02-28,83,83,86.4,86.4,0,2,2
2017-03-03,82.5,82.5,86.4,86.4,0,2,3
2017-03-06,82.3,82.3,86.4,86.4,0,1,1
2017-03-07,82.2,82.2,86.4,86.4,0,1,5
2017-03-09,81.5,77.1,77.2,86.4,-10.65,11,901
2017-03-14,84.7,84.7,77.2,77.2,0,1,2
2017-03-17,83.9,82,83,77.2,7.51,14,887
2017-03-20,83,82.9,83,83,0,4,71
2017-03-21,84.9,82.9,83.1,83,0.12,13,101
2017-03-22,84,82.9,83,83.1,-0.12,4,501
2017-03-23,84,83.9,83,83,0,3,10
2017-03-24,83,82.5,82.5,83,-0.6,11,1611
2017-03-27,75.9,71.3,75.3,82.5,-8.73,7,356
2017-03-29,83.7,74,76.2,75.3,1.2,11,212
2017-03-31,74,74,74,76.2,-2.89,6,147
2017-04-03,75,74.1,75,74,1.35,3,50550
2017-04-04,75,75,75,75,0,1,200
2017-04-05,74,74,74,75,-1.33,2,200
2017-04-06,76.9,74.5,75,74,1.35,8,12600
2017-04-07,75.5,75.5,75.5,75,0.67,2,999
2017-04-11,76.8,76.8,75.5,75.5,0,1,1
2017-04-12,83,76.8,79.2,75.5,4.9,25,2960
2017-04-17,81.9,75,79.9,79.2,0.88,10,189
2017-04-18,78.5,78.5,78.5,79.9,-1.75,1,100
2017-04-19,77.2,77.2,78.5,78.5,0,1,2
2017-04-20,81.9,78,80.8,78.5,2.93,10,1069
2017-04-21,78.3,78,78,80.8,-3.47,4,2460
2017-04-24,85,78.7,81.2,78,4.1,28,266384
2017-04-25,85.5,85,85,81.2,4.68,10,45390
2017-04-26,85,85,85,85,0,2,6
2017-04-27,86,84.5,85,85,0,5,399
2017-04-28,86,85,86,85,1.18,5,634
2017-05-02,86,86,86,86,0,4,650
2017-05-03,87,87,86,86,0,1,1
2017-05-04,92,85,89.7,86,4.3,24,153033
2017-05-05,96,87,92.2,89.7,2.79,18,9397
2017-05-08,94,94,94,92.2,1.95,1,100
2017-05-12,91,91,91,94,-3.19,1,600
2017-05-15,95.5,92,93,91,2.2,25,8125
2017-05-16,92.8,90,90,93,-3.23,8,623
2017-05-17,92,92,90,90,0,1,10
2017-05-18,90,85,90,90,0,4,23
2017-05-19,92,90,90.5,90,0.56,3,371
2017-05-22,92.8,90.1,90.1,90.5,-0.44,2,901
2017-05-23,90.2,90.2,90.1,90.1,0,2,70
2017-05-24,90.3,90.2,90.3,90.1,0.22,3,377
2017-05-25,97.2,90.2,97,90.3,7.42,14,2581
2017-05-26,98.9,90.2,98.1,97,1.13,26,1855
2017-05-29,99.5,98.6,99.3,98.1,1.22,4,129
2017-05-30,96.9,96.9,99.3,99.3,0,1,1
2017-05-31,95.9,94.8,95.5,99.3,-3.83,6,606
2017-06-01,83.5,83.5,95.5,95.5,0,1,10
2017-06-02,89,84.3,86.2,95.5,-9.74,11,775
2017-06-07,97,84,87,86.2,0.93,23,2600
2017-06-12,88.9,88.9,87,87,0,1,4
2017-06-14,87.8,87.8,87,87,0,1,1
2017-06-15,85.3,85,85,87,-2.3,3,189
2017-06-16,84.9,80,80.4,85,-5.41,9,261
2017-06-19,84.7,80.1,80.1,80.4,-0.37,6,459
2017-06-20,80.8,80.5,80.5,80.1,0.5,12,1400
2017-06-21,80.7,80.5,80.6,80.5,0.12,8,1586
2017-06-22,80.7,80.7,80.6,80.6,0,1,95
2017-06-23,80.7,80.7,80.6,80.6,0,1,1
2017-06-27,80.7,80,80,80.6,-0.74,35,14560
2017-06-28,80,80,80,80,0,13,6534
2017-06-29,80,79.9,80,80,0,71,52704
