date,high,low,closing,open,trades,shares,turnover
2017-03-29,83.7,74,76.2,75.3,11,212,"16,146.00"
2017-03-31,74,74,74,76.2,6,147,"10,878.00"
2017-04-03,75,74.1,75,74,3,"50,550","3,790,780.00"
2017-04-04,75,75,75,75,1,200,"15,000.00"
2017-04-05,74,74,74,75,2,200,"14,800.00"
2017-04-06,76.9,74.5,75,74,8,"12,600","938,746.50"
2017-04-07,75.5,75.5,75.5,75,2,999,"75,424.50"
2017-04-11,76.8,76.8,75.5,75.5,1,1,76.8
2017-04-12,83,76.8,79.2,75.5,25,"2,960","234,460.60"
2017-04-17,81.9,75,79.9,79.2,10,189,"14,954.80"
2017-04-18,78.5,78.5,78.5,79.9,1,100,"7,850.00"
2017-04-19,77.2,77.2,78.5,78.5,1,2,154.4
2017-04-20,81.9,78,80.8,78.5,10,"1,069","86,429.50"
2017-04-21,78.3,78,78,80.8,4,"2,460","191,885.00"
2017-04-24,85,78.7,81.2,78,28,"266,384","22,631,979.10"
